candidate,plane_count,scenario,satellite_count,annual_conjunction_rate,trigger_probability,feasible_probability,residual_collision_probability_proxy,annual_avoidances,capacity_loss_ratio,debris_density_km3,relative_speed_km_s,threshold,capacity_reduction
q2_single_S1302,62,baseline,1302,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,132.69203986983564,9.69501608795826e-07,1e-08,10.0,1e-05,0.5
q2_single_S1302,62,density_x0.5,1302,0.6964123956302178,0.07317073170731707,1.0,1.116679316575594e-07,66.34601993491782,4.84750804397913e-07,5e-09,10.0,1e-05,0.5
q2_single_S1302,62,density_x2,1302,2.7856495825208714,0.07317073170731707,1.0,1.116679316575594e-07,265.3840797396713,1.939003217591652e-06,2e-08,10.0,1e-05,0.5
q2_single_S1302,62,speed_8kms,1302,1.1142598330083484,0.07317073170731707,1.0,1.116679316575594e-07,106.1536318958685,7.756012870366608e-07,1e-08,8.0,1e-05,0.5
q2_single_S1302,62,speed_12kms,1302,1.6713897495125225,0.07317073170731707,1.0,1.116679316575594e-07,159.23044784380272,1.163401930554991e-06,1e-08,12.0,1e-05,0.5
q2_single_S1302,62,threshold_1e-6,1302,1.3928247912604357,0.0975609756097561,1.0,9.870206166060713e-08,176.92271982644755,1.2926688117277683e-06,1e-08,10.0,1e-06,0.5
q2_single_S1302,62,threshold_1e-4,1302,1.3928247912604357,0.024390243902439025,1.0,2.556528484874498e-06,44.23067995661189,3.231672029319421e-07,1e-08,10.0,0.0001,0.5
q2_single_S1302,62,capacity_reduction_0.25,1302,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,132.69203986983564,4.84750804397913e-07,1e-08,10.0,1e-05,0.25
q2_single_S1302,62,capacity_reduction_0.75,1302,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,132.69203986983564,1.454252413193739e-06,1e-08,10.0,1e-05,0.75
q2_double_S1480,37,baseline,1480,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,150.83273349259352,9.69501608795826e-07,1e-08,10.0,1e-05,0.5
q2_double_S1480,37,density_x0.5,1480,0.6964123956302178,0.07317073170731707,1.0,1.116679316575594e-07,75.41636674629676,4.84750804397913e-07,5e-09,10.0,1e-05,0.5
q2_double_S1480,37,density_x2,1480,2.7856495825208714,0.07317073170731707,1.0,1.116679316575594e-07,301.66546698518704,1.939003217591652e-06,2e-08,10.0,1e-05,0.5
q2_double_S1480,37,speed_8kms,1480,1.1142598330083484,0.07317073170731707,1.0,1.116679316575594e-07,120.6661867940748,7.756012870366608e-07,1e-08,8.0,1e-05,0.5
q2_double_S1480,37,speed_12kms,1480,1.6713897495125225,0.07317073170731707,1.0,1.116679316575594e-07,180.99928019111218,1.163401930554991e-06,1e-08,12.0,1e-05,0.5
q2_double_S1480,37,threshold_1e-6,1480,1.3928247912604357,0.0975609756097561,1.0,9.870206166060713e-08,201.11031132345803,1.2926688117277681e-06,1e-08,10.0,1e-06,0.5
q2_double_S1480,37,threshold_1e-4,1480,1.3928247912604357,0.024390243902439025,1.0,2.556528484874498e-06,50.27757783086451,3.2316720293194203e-07,1e-08,10.0,0.0001,0.5
q2_double_S1480,37,capacity_reduction_0.25,1480,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,150.83273349259352,4.84750804397913e-07,1e-08,10.0,1e-05,0.25
q2_double_S1480,37,capacity_reduction_0.75,1480,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,150.83273349259352,1.4542524131937394e-06,1e-08,10.0,1e-05,0.75
q3_saturation_S1680,35,baseline,1680,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,171.21553531591698,9.69501608795826e-07,1e-08,10.0,1e-05,0.5
q3_saturation_S1680,35,density_x0.5,1680,0.6964123956302178,0.07317073170731707,1.0,1.116679316575594e-07,85.60776765795849,4.84750804397913e-07,5e-09,10.0,1e-05,0.5
q3_saturation_S1680,35,density_x2,1680,2.7856495825208714,0.07317073170731707,1.0,1.116679316575594e-07,342.43107063183396,1.939003217591652e-06,2e-08,10.0,1e-05,0.5
q3_saturation_S1680,35,speed_8kms,1680,1.1142598330083484,0.07317073170731707,1.0,1.116679316575594e-07,136.97242825273355,7.756012870366607e-07,1e-08,8.0,1e-05,0.5
q3_saturation_S1680,35,speed_12kms,1680,1.6713897495125225,0.07317073170731707,1.0,1.116679316575594e-07,205.45864237910033,1.1634019305549912e-06,1e-08,12.0,1e-05,0.5
q3_saturation_S1680,35,threshold_1e-6,1680,1.3928247912604357,0.0975609756097561,1.0,9.870206166060713e-08,228.28738042122265,1.2926688117277683e-06,1e-08,10.0,1e-06,0.5
q3_saturation_S1680,35,threshold_1e-4,1680,1.3928247912604357,0.024390243902439025,1.0,2.556528484874498e-06,57.07184510530566,3.231672029319421e-07,1e-08,10.0,0.0001,0.5
q3_saturation_S1680,35,capacity_reduction_0.25,1680,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,171.21553531591698,4.84750804397913e-07,1e-08,10.0,1e-05,0.25
q3_saturation_S1680,35,capacity_reduction_0.75,1680,1.3928247912604357,0.07317073170731707,1.0,1.116679316575594e-07,171.21553531591698,1.4542524131937394e-06,1e-08,10.0,1e-05,0.75
