S,candidate_key,M,N,F,i,u0,c1,c2,p30_all,p30_reachable,max_delay_s
1480,"[37,40,34,50.0,0.0,0.0]",37,40,34,50.0,0.0,0.9997283001459868,0.9601030272415946,0.8163385435310027,0.8163385435310027,0.07334477709377943
1500,"[60,25,18,50.0,0.0,0.0]",60,25,18,50.0,0.0,0.9993649432997243,0.9576886420578782,0.611231754365032,0.611231754365032,0.15135089326072326
1520,"[38,40,31,50.0,0.0,0.0]",38,40,31,50.0,0.0,0.9990943705084807,0.9788993524183384,0.8297100584655769,0.8297100584655769,0.08903995268777146
1540,"[35,44,24,50.0,0.0,0.0]",35,44,24,50.0,0.0,0.9999411168471077,0.9831508009072618,0.8401543173050153,0.8401543173050153,0.08426206540313237
1560,"[39,40,4,50.0,0.0,0.0]",39,40,4,50.0,0.0,0.9990721704306249,0.9520846517098126,0.8208169271765501,0.8267289450070504,0.07177999082088078
1600,"[32,50,25,50.0,0.0,0.0]",32,50,25,50.0,0.0,0.9996163273868497,0.960362380604087,0.8467008710177784,0.8467008710177784,0.06105559491406573
1620,"[30,54,18,50.0,0.0,0.0]",30,54,18,50.0,0.0,0.9995431520699767,0.9539894201514624,0.8480451815614684,0.8480451815614684,0.04958996197948789
1640,"[40,41,7,50.0,0.0,0.0]",40,41,7,50.0,0.0,0.9998472704353155,0.9602199789956195,0.831436185021676,0.831436185021676,0.06793808209252761
1680,"[35,48,21,50.0,0.0,0.0]",35,48,21,50.0,0.0,0.99999512895823,0.995902029308706,0.8564212703336913,0.8564212703336913,0.08373698586264822
1700,"[34,50,27,50.0,0.0,0.0]",34,50,27,50.0,0.0,0.9999999999992907,0.9865818335462541,0.8455792864813269,0.8455792864813269,0.06025597915487663
1720,"[40,43,32,50.0,0.0,0.0]",40,43,32,50.0,0.0,0.9999999999992907,0.9988513944594934,0.8423338503758502,0.8423338503758502,0.06860849094678355
1740,"[30,58,14,50.0,0.0,0.0]",30,58,14,50.0,0.0,0.9990969758505802,0.9673076849268895,0.8469872330270851,0.8469872330270851,0.05100705890782878
1760,"[32,55,12,50.0,0.0,0.0]",32,55,12,50.0,0.0,0.9996722383270269,0.9895055780311995,0.8611303344867358,0.8611303344867358,0.07871468298883615
1800,"[30,60,6,50.0,0.0,0.0]",30,60,6,50.0,0.0,0.9993533304444573,0.974952083585782,0.8597144334407191,0.8597144334407191,0.04912270236471677
1820,"[35,52,19,50.0,0.0,0.0]",35,52,19,50.0,0.0,0.9999999999992907,0.9992052393116778,0.8489122220896472,0.8489122220896472,0.05413309087419284
1840,"[40,46,30,50.0,0.0,0.0]",40,46,30,50.0,0.0,0.9999999999992907,0.9999999999992907,0.8534781052380385,0.8534781052380385,0.047086227801151945
1860,"[31,60,7,50.0,0.0,0.0]",31,60,7,50.0,0.0,0.9995357241241197,0.9858713888741829,0.8552837767967227,0.8580548883160827,0.06973603150899692
1880,"[40,47,38,50.0,0.0,0.0]",40,47,38,50.0,0.0,0.9999999999992907,0.9999510324105625,0.841705444855427,0.841705444855427,0.05296709691535869
