S,P30_all,P30_reach,max_delay_s,M,N,F
1480,0.8163385435310027,0.8163385435310027,0.07334477709377943,37,40,34
1500,0.611231754365032,0.611231754365032,0.15135089326072326,60,25,18
1520,0.8297100584655769,0.8297100584655769,0.08903995268777146,38,40,31
1540,0.8401543173050153,0.8401543173050153,0.08426206540313237,35,44,24
1560,0.8208169271765501,0.8267289450070504,0.07177999082088078,39,40,4
1600,0.8467008710177784,0.8467008710177784,0.06105559491406573,32,50,25
1620,0.8480451815614684,0.8480451815614684,0.04958996197948789,30,54,18
1640,0.831436185021676,0.831436185021676,0.06793808209252761,40,41,7
1680,0.8564212703336913,0.8564212703336913,0.08373698586264822,35,48,21
1700,0.8455792864813269,0.8455792864813269,0.06025597915487663,34,50,27
1720,0.8423338503758502,0.8423338503758502,0.06860849094678355,40,43,32
1740,0.8469872330270851,0.8469872330270851,0.05100705890782878,30,58,14
1760,0.8611303344867358,0.8611303344867358,0.07871468298883615,32,55,12
1800,0.8597144334407191,0.8597144334407191,0.04912270236471677,30,60,6
1820,0.8489122220896472,0.8489122220896472,0.05413309087419284,35,52,19
1840,0.8534781052380385,0.8534781052380385,0.047086227801151945,40,46,30
1860,0.8552837767967227,0.8580548883160827,0.06973603150899692,31,60,7
1880,0.841705444855427,0.841705444855427,0.05296709691535869,40,47,38
