total_satellites,planes,sats_per_plane,phase_factor,screen_evaluations,selected_for_refinement
40,1,40,0,8,1
40,2,20,0,8,1
40,2,20,1,8,1
40,4,10,0,8,1
40,4,10,1,8,1
40,4,10,2,8,1
40,4,10,3,8,1
40,5,8,0,8,1
40,5,8,1,8,1
40,5,8,2,8,1
40,5,8,3,8,1
40,5,8,4,8,1
40,8,5,0,8,1
40,8,5,1,8,1
40,8,5,2,8,1
40,8,5,3,8,1
40,8,5,4,8,1
40,8,5,5,8,1
40,8,5,6,8,1
40,8,5,7,8,1
40,10,4,0,8,1
40,10,4,1,8,1
40,10,4,2,8,1
40,10,4,3,8,1
40,10,4,4,8,1
40,10,4,5,8,1
40,10,4,6,8,1
40,10,4,7,8,1
40,10,4,8,8,1
40,10,4,9,8,1
40,20,2,0,8,1
40,20,2,1,8,1
40,20,2,2,8,1
40,20,2,3,8,1
40,20,2,4,8,1
40,20,2,5,8,1
40,20,2,6,8,1
40,20,2,7,8,1
40,20,2,8,8,1
40,20,2,9,8,1
40,20,2,10,8,1
40,20,2,11,8,1
40,20,2,12,8,1
40,20,2,13,8,1
40,20,2,14,8,1
40,20,2,15,8,1
40,20,2,16,8,1
40,20,2,17,8,1
40,20,2,18,8,1
40,20,2,19,8,1
40,40,1,0,8,1
40,40,1,1,8,1
40,40,1,2,8,1
40,40,1,3,8,1
40,40,1,4,8,1
40,40,1,5,8,1
40,40,1,6,8,1
40,40,1,7,8,1
40,40,1,8,8,1
40,40,1,9,8,1
40,40,1,10,8,1
40,40,1,11,8,1
40,40,1,12,8,1
40,40,1,13,8,1
40,40,1,14,8,1
40,40,1,15,8,1
40,40,1,16,8,1
40,40,1,17,8,1
40,40,1,18,8,1
40,40,1,19,8,1
40,40,1,20,8,1
40,40,1,21,8,1
40,40,1,22,8,1
40,40,1,23,8,1
40,40,1,24,8,1
40,40,1,25,8,1
40,40,1,26,8,1
40,40,1,27,8,1
40,40,1,28,8,1
40,40,1,29,8,1
40,40,1,30,8,1
40,40,1,31,8,1
40,40,1,32,8,1
40,40,1,33,8,1
40,40,1,34,8,1
40,40,1,35,8,1
40,40,1,36,8,1
40,40,1,37,8,1
40,40,1,38,8,1
40,40,1,39,8,1
41,1,41,0,8,1
41,41,1,0,8,1
41,41,1,1,8,1
41,41,1,2,8,1
41,41,1,3,8,1
41,41,1,4,8,1
41,41,1,5,8,1
41,41,1,6,8,1
41,41,1,7,8,1
41,41,1,8,8,1
41,41,1,9,8,1
41,41,1,10,8,1
41,41,1,11,8,1
41,41,1,12,8,1
41,41,1,13,8,1
41,41,1,14,8,1
41,41,1,15,8,1
41,41,1,16,8,1
41,41,1,17,8,1
41,41,1,18,8,1
41,41,1,19,8,1
41,41,1,20,8,1
41,41,1,21,8,1
41,41,1,22,8,1
41,41,1,23,8,1
41,41,1,24,8,1
41,41,1,25,8,1
41,41,1,26,8,1
41,41,1,27,8,1
41,41,1,28,8,1
41,41,1,29,8,1
41,41,1,30,8,1
41,41,1,31,8,1
41,41,1,32,8,1
41,41,1,33,8,1
41,41,1,34,8,1
41,41,1,35,8,1
41,41,1,36,8,1
41,41,1,37,8,1
41,41,1,38,8,1
41,41,1,39,8,1
41,41,1,40,8,1
42,1,42,0,8,1
42,2,21,0,8,1
42,2,21,1,8,1
42,3,14,0,8,1
42,3,14,1,8,1
42,3,14,2,8,1
42,6,7,0,8,1
42,6,7,1,8,1
42,6,7,2,8,1
42,6,7,3,8,1
42,6,7,4,8,1
42,6,7,5,8,1
42,7,6,0,8,1
42,7,6,1,8,1
42,7,6,2,8,1
42,7,6,3,8,1
42,7,6,4,8,1
42,7,6,5,8,1
42,7,6,6,8,1
42,14,3,0,8,1
42,14,3,1,8,1
42,14,3,2,8,1
42,14,3,3,8,1
42,14,3,4,8,1
42,14,3,5,8,1
42,14,3,6,8,1
42,14,3,7,8,1
42,14,3,8,8,1
42,14,3,9,8,1
42,14,3,10,8,1
42,14,3,11,8,1
42,14,3,12,8,1
42,14,3,13,8,1
42,21,2,0,8,1
42,21,2,1,8,1
42,21,2,2,8,1
42,21,2,3,8,1
42,21,2,4,8,1
42,21,2,5,8,1
42,21,2,6,8,1
42,21,2,7,8,1
42,21,2,8,8,1
42,21,2,9,8,1
42,21,2,10,8,1
42,21,2,11,8,1
42,21,2,12,8,1
42,21,2,13,8,1
42,21,2,14,8,1
42,21,2,15,8,1
42,21,2,16,8,1
42,21,2,17,8,1
42,21,2,18,8,1
42,21,2,19,8,1
42,21,2,20,8,1
42,42,1,0,8,1
42,42,1,1,8,1
42,42,1,2,8,1
42,42,1,3,8,1
42,42,1,4,8,1
42,42,1,5,8,1
42,42,1,6,8,1
42,42,1,7,8,1
42,42,1,8,8,1
42,42,1,9,8,1
42,42,1,10,8,1
42,42,1,11,8,1
42,42,1,12,8,1
42,42,1,13,8,1
42,42,1,14,8,1
42,42,1,15,8,1
42,42,1,16,8,1
42,42,1,17,8,1
42,42,1,18,8,1
42,42,1,19,8,1
42,42,1,20,8,1
42,42,1,21,8,1
42,42,1,22,8,1
42,42,1,23,8,1
42,42,1,24,8,1
42,42,1,25,8,1
42,42,1,26,8,1
42,42,1,27,8,1
42,42,1,28,8,1
42,42,1,29,8,1
42,42,1,30,8,1
42,42,1,31,8,1
42,42,1,32,8,1
42,42,1,33,8,1
42,42,1,34,8,1
42,42,1,35,8,1
42,42,1,36,8,1
42,42,1,37,8,1
42,42,1,38,8,1
42,42,1,39,8,1
42,42,1,40,8,1
42,42,1,41,8,1
